date,close,volume,Name
12/11/13,171.09,724338,RL
12/12/13,173.02,921182,RL
12/13/13,175.19,1000718,RL
12/16/13,175.56,829362,RL
12/17/13,174.35,646578,RL
12/18/13,177.09,818778,RL
12/19/13,175.14,651865,RL
12/20/13,175.05,657095,RL
12/23/13,174.87,504408,RL
12/24/13,176.03,320734,RL
12/26/13,175.97,274165,RL
12/27/13,175.97,286949,RL
12/30/13,176.34,257801,RL
12/31/13,176.57,330268,RL
1/2/14,175.37,750575,RL
1/3/14,177.19,665931,RL
1/6/14,174.68,637674,RL
1/7/14,175.4,466856,RL
1/8/14,172.32,736139,RL
1/9/14,172.88,649857,RL
1/10/14,173.95,550274,RL
1/13/14,167.5,992377,RL
1/14/14,167.47,870393,RL
1/15/14,168.08,632586,RL
1/16/14,163.31,1753073,RL
1/17/14,162.49,1045427,RL
1/21/14,160.9,877604,RL
1/22/14,159.86,886823,RL
1/23/14,158.65,1075873,RL
1/24/14,157.62,1184674,RL
1/27/14,156.95,874679,RL
1/28/14,156.74,840232,RL
1/29/14,155.51,951374,RL
1/30/14,158.23,927180,RL
1/31/14,156.89,788574,RL
2/3/14,153.66,1161857,RL
2/4/14,154.18,1890197,RL
2/5/14,148.71,11478553,RL
2/6/14,152.23,2158377,RL
2/7/14,155.89,1944078,RL
2/10/14,155.25,1095660,RL
2/11/14,156.8,1384747,RL
2/12/14,154.5,1787710,RL
2/13/14,156.15,1253323,RL
2/14/14,158.39,1659631,RL
2/18/14,157.15,863793,RL
2/19/14,156.97,1049909,RL
2/20/14,157.66,961326,RL
2/21/14,158.4,791481,RL
2/24/14,159.27,1163609,RL
2/25/14,159.99,779152,RL
2/26/14,162.12,1482841,RL
2/27/14,161.79,2940643,RL
2/28/14,161.08,1202776,RL
3/3/14,160.27,987601,RL
3/4/14,161.94,967610,RL
3/5/14,161.45,986858,RL
3/6/14,162.16,1054755,RL
3/7/14,164.05,1028362,RL
3/10/14,164.29,1315194,RL
3/11/14,162.23,1341872,RL
3/12/14,162.57,674928,RL
3/13/14,159.41,898931,RL
3/14/14,160.08,796431,RL
3/17/14,161.51,744822,RL
3/18/14,163.8,947531,RL
3/19/14,161.26,720794,RL
3/20/14,160.47,637550,RL
3/21/14,161.04,1027023,RL
3/24/14,160.01,864071,RL
3/25/14,156.29,1477456,RL
3/26/14,156.48,1229265,RL
3/27/14,156.98,762945,RL
3/28/14,158.24,734560,RL
3/31/14,160.93,867714,RL
4/1/14,163.72,954616,RL
4/2/14,163.41,774343,RL
4/3/14,162.68,654066,RL
4/4/14,158.64,1014866,RL
4/7/14,155.58,1239855,RL
4/8/14,155.92,1298230,RL
4/9/14,157.44,712986,RL
4/10/14,153.79,784381,RL
4/11/14,153.55,918049,RL
4/14/14,154.39,675279,RL
4/15/14,155.34,737774,RL
4/16/14,155.05,585075,RL
4/17/14,154.38,642940,RL
4/21/14,153.92,424253,RL
4/22/14,154.86,1087084,RL
4/23/14,153.84,700474,RL
4/24/14,154.61,888624,RL
4/25/14,153.09,732151,RL
4/28/14,151.47,1317906,RL
4/29/14,152.31,869814,RL
4/30/14,151.37,851991,RL
5/1/14,153.4,1035751,RL
5/2/14,155,971626,RL
5/5/14,155.86,796970,RL
5/6/14,153.89,1017249,RL
5/7/14,152.56,994665,RL
5/8/14,151.99,1648178,RL
5/9/14,148.81,4800410,RL
5/12/14,147.34,2628332,RL
5/13/14,149.16,1557758,RL
5/14/14,147.52,760506,RL
5/15/14,147.47,1087072,RL
5/16/14,149.77,1056061,RL
5/19/14,150.99,972759,RL
5/20/14,150.26,1021834,RL
5/21/14,150.82,587417,RL
5/22/14,151.9,661919,RL
5/23/14,152.72,578636,RL
5/27/14,153.5,789959,RL
5/28/14,152.6,872162,RL
5/29/14,153.06,474895,RL
5/30/14,153.48,586960,RL
6/2/14,153.17,575272,RL
6/3/14,154.27,658364,RL
6/4/14,155.41,848198,RL
6/5/14,154.27,1356692,RL
6/6/14,154.5,681004,RL
6/9/14,155.31,534200,RL
6/10/14,154.65,577487,RL
6/11/14,153.44,458018,RL
6/12/14,152.69,674033,RL
6/13/14,153.54,791507,RL
6/16/14,153,507601,RL
6/17/14,154.69,527580,RL
6/18/14,156,611325,RL
6/19/14,154.25,650181,RL
6/20/14,155.57,1022292,RL
6/23/14,156.09,667670,RL
6/24/14,157.9,1525005,RL
6/25/14,155.94,1103474,RL
6/26/14,157.08,1071975,RL
6/27/14,160.42,1404386,RL
6/30/14,160.69,674606,RL
7/1/14,161.63,1085257,RL
7/2/14,161.45,732383,RL
7/3/14,162.88,415784,RL
7/7/14,161.88,736172,RL
7/8/14,160.88,944278,RL
7/9/14,162.92,881004,RL
7/10/14,159.97,662102,RL
7/11/14,159.13,565930,RL
7/14/14,159.46,412077,RL
7/15/14,158.86,466962,RL
7/16/14,158,639187,RL
7/17/14,157.19,533959,RL
7/18/14,157.69,560510,RL
7/21/14,157.77,411102,RL
7/22/14,159.23,530054,RL
7/23/14,159.5,292440,RL
7/24/14,161.52,423749,RL
7/25/14,159.64,418684,RL
7/28/14,159.92,362312,RL
7/29/14,158.33,693801,RL
7/30/14,159.35,652615,RL
7/31/14,155.86,809464,RL
8/1/14,154.55,788461,RL
8/4/14,156.3,837082,RL
8/5/14,156.57,1448948,RL
8/6/14,156.88,1953908,RL
8/7/14,158.12,1345450,RL
8/8/14,160.44,649048,RL
8/11/14,162.76,1031532,RL
8/12/14,162.78,1262598,RL
8/13/14,162.24,1141850,RL
8/14/14,163.18,577413,RL
8/15/14,163.54,846061,RL
8/18/14,165.36,575386,RL
8/19/14,167,532706,RL
8/20/14,169.33,994996,RL
8/21/14,169.27,731738,RL
8/22/14,169.77,583799,RL
8/25/14,169.96,624397,RL
8/26/14,169,808127,RL
8/27/14,169.68,637926,RL
8/28/14,169.05,658727,RL
8/29/14,169.2,517778,RL
9/2/14,169.81,611211,RL
9/3/14,169.05,596448,RL
9/4/14,172.46,1096802,RL
9/5/14,172.9,582405,RL
9/8/14,172.5,426726,RL
9/9/14,173.52,747995,RL
9/10/14,174.7,733622,RL
9/11/14,173.27,676113,RL
9/12/14,173.79,920646,RL
9/15/14,170.99,988317,RL
9/16/14,172.6,732650,RL
9/17/14,172.78,577994,RL
9/18/14,172.84,567279,RL
9/19/14,171.98,1377747,RL
9/22/14,169.84,1065288,RL
9/23/14,170.01,955697,RL
9/24/14,167.6,1404835,RL
9/25/14,164.92,1151619,RL
9/26/14,165.64,838343,RL
9/29/14,165.03,597581,RL
9/30/14,164.73,694755,RL
10/1/14,163.36,975345,RL
10/2/14,167.12,1126217,RL
10/3/14,166.4,772093,RL
10/6/14,164.39,806095,RL
10/7/14,163.12,914821,RL
10/8/14,166.11,888285,RL
10/9/14,163.04,1043964,RL
10/10/14,160.43,799272,RL
10/13/14,157.53,767993,RL
10/14/14,157.73,853197,RL
10/15/14,156.72,1047600,RL
10/16/14,157.67,793535,RL
10/17/14,156.25,1177159,RL
10/20/14,157.2,914204,RL
